"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
느리울마을12단지,"30170","11600","1","1398","0000",관저로,"30170","3166008","01","0","00184","00000",,"1398","84.67","2024","11","30","34,800","6","2002","30170-119", , ,중개거래,대전 서구, , ,,개인,N
공작한양,"30170","10600","1","0835","0000",문정로,"30170","3166027","01","0","00131","00000",,"835","84.9","2024","11","9","41,000","5","1992","30170-38", , ,중개거래,대전 서구, , ,,개인,N
강변,"30170","12800","1","0001","0002",만년로,"30170","3166025","01","0","00025","00000",,"1-2","100","2024","11","14","62,400","17","1996","30170-120", , ,중개거래,대전 서구,"25.01.03","109",,개인,N
국화신동아,"30170","11200","1","1809","0000",둔산로,"30170","3166019","01","0","00201","00000",,"1809","92.35","2024","11","5","57,500","9","1992","30170-46", , ,중개거래,"대전 서구, 대전 유성구", , ,,개인,N
구봉마을9단지,"30170","11600","1","1154","0000",관저서로,"30170","3166010","01","0","00020","00000",,"1154","59.9","2024","11","25","19,000","16","2000","30170-111", , ,중개거래,대전 서구, , ,,개인,N
느리울마을12단지,"30170","11600","1","1398","0000",관저로,"30170","3166008","01","0","00184","00000",,"1398","84.67","2024","11","28","37,900","14","2002","30170-119", , ,중개거래,대전 서구, , ,,개인,N
공작한양,"30170","10600","1","0835","0000",문정로,"30170","3166027","01","0","00131","00000",,"835","84.9","2024","11","3","41,800","9","1992","30170-38", , ,중개거래,대전 서구, , ,,개인,N
다모아,"30170","11300","1","0311","0000",월평동로,"30170","3166039","02","0","00083","00000",,"311","63.24","2024","11","14","30,500","6","1994","30170-94", , ,중개거래,대전 서구, , ,,개인,N
청솔아파트,"30170","11200","1","1811","0000",둔산로,"30170","3166019","01","0","00223","00000",,"1811","84.76","2024","11","26","45,900","8","1991","30170-50", , ,중개거래,"대전 서구, 대전 유성구", , ,,개인,N
구봉마을9단지,"30170","11600","1","1154","0000",관저서로,"30170","3166010","01","0","00020","00000",,"1154","59.9","2024","11","25","19,000","16","2000","30170-111",O,"24.11.29",중개거래,대전 서구, , ,,개인,N
강변들금성백조,"30170","10400","1","0683","0000",구봉로,"30170","3166013","01","0","00419","00000",,"683","59.99","2024","11","27","16,000","4","1996","30170-21", , ,중개거래,대전 서구, , ,,개인,N
강변들보람,"30170","10400","1","0641","0000",정림서로,"30170","3166050","01","0","00162","00018",,"641","73.32","2024","11","26","19,500","11","1996","30170-22", , ,중개거래,대전 서구,"24.12.19","101",,개인,N
우성,"30170","10400","1","0584","0000",정림서로,"30170","3166050","01",,"00162","00015",,"584","84.935","2024","11","23","25,500","13","1993","30170-25", , ,중개거래,대전 서구,"24.12.20","121",,개인,N
원앙마을4,"30170","11600","1","0999","0000",관저북로,"30170","3166009","01","0","00014","00000",,"999","59.47","2024","11","5","19,300","7","1997","30170-118", , ,중개거래,대전 서구,"24.12.02","402",,개인,N
경남4차,"30170","10300","1","0193","0000",배재로,"30170","3166028","02","0","00155","00026",,"193","72.535","2024","11","16","19,500","11","1990","30170-6", , ,중개거래,대전 서구, , ,,개인,N
두운힐스,"30170","11200","1","1116","0000",대덕대로175번길,"30170","4298168","01","0","00040","00000",,"1116","38.14","2024","11","28","7,900","10","2003","30170-91", , ,중개거래,대전 서구,"24.11.29", ,,개인,N
서우1단지,"30170","11000","1","0165","0000",동서대로,"30170","2010003","03","0","00976","00000",,"165","39.75","2024","11","29","8,000","12","1989","30170-56",O,"24.12.02",중개거래,대전 서구, , ,,개인,N
강변들금성백조,"30170","10400","1","0683","0000",구봉로,"30170","3166013","01","0","00419","00000",,"683","59.99","2024","11","27","16,000","4","1996","30170-21",O,"24.11.29",중개거래,대전 서구, , ,,개인,N
샘머리2차,"30170","11200","1","0908","0000",청사로,"30170","3166051","01","0","00281","00000",,"908","84.945","2024","11","15","43,200","8","1998","30170-168", , ,중개거래,대전 서구, , ,,개인,N
초원,"30170","12800","1","0001","0001",만년로,"30170","3166025","01","0","00045","00000",,"1-1","59.89","2024","11","28","29,500","12","1993","30170-123", , ,중개거래,대전 서구,"24.12.23","103",,개인,N
영진햇님,"30170","11200","1","1383","0000",둔산북로,"30170","3166020","01","0","00175","00000",,"1383","93.105","2024","11","27","54,720","8","1993","30170-82", , ,직거래, ,"24.12.04","4",,개인,N
공작한양,"30170","10600","1","0835","0000",문정로,"30170","3166027","01","0","00131","00000",,"835","84.9","2024","11","9","47,500","12","1992","30170-38", , ,중개거래,대전 서구,"24.12.30","2",,개인,N
우성,"30170","10400","1","0584","0000",정림서로,"30170","3166050","01",,"00162","00015",,"584","101.9812","2024","11","27","30,850","13","1993","30170-25", , ,중개거래,대전 서구,"24.12.17","125",,개인,N
다온숲3단지,"30170","11600","1","1584","0000",구봉산북로,"30170","3166058","00","0","00165","00000",,"1584","59.92","2024","11","28","33,800","10","2016","30170-1123", , ,중개거래,대전 서구, , ,,개인,N
갤러리빌,"30170","11200","1","1141","0000",계룡로491번길,"30170","4298068","01","0","00008","00000",,"1141","46.0625","2024","11","27","12,500","11","2004","30170-162", , ,중개거래,대전 서구, , ,,개인,N
한신,"30170","10800","1","0418","0000",계룡로536번길,"30170","4298071","01","0","00009","00000",,"418","68.78","2024","11","27","20,000","1","1991","30170-52", , ,직거래, ,"24.12.30","106",,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","67.9693","2024","11","27","34,000","4","2004","30170-151", , ,중개거래,대전 서구, , ,,개인,N
누리,"30170","11300","1","0301","0000",청사로,"30170","3166051","02","0","00070","00000",,"301","101.88","2024","11","13","62,000","5","1994","30170-93", , ,중개거래,대전 서구, , ,,개인,N
갈마,"30170","11100","1","0390","0022",신갈마로,"30170","3166037","00","0","00102","00000",,"390-22","73.78","2024","11","27","22,500","3","1994","30170-68", , ,직거래, ,"24.11.27","301",,개인,N
도안리슈빌,"30170","11500","1","1369","0000",도안동로,"30170","3166054","02","0","00123","00000",,"1369","84.9868","2024","11","27","52,500","15","2014","30170-1100", , ,중개거래,대전 서구, , ,,개인,N
엘드수목토,"30170","11500","1","1364","0000",도안동로,"30170","3166054","02","0","00177","00000",,"1364","84.9398","2024","11","9","49,500","11","2010","30170-1039", , ,중개거래,대전 서구, , ,,개인,N
공작한양,"30170","10600","1","0835","0000",문정로,"30170","3166027","01","0","00131","00000",,"835","84.9","2024","11","20","44,000","13","1992","30170-38", , ,중개거래,대전 서구, , ,,개인,N
크로바,"30170","11200","1","1509","0000",둔산로,"30170","3166019","01","0","00155","00000",,"1509","114.63","2024","11","24","138,000","15","1992","30170-85", , ,중개거래,대전 서구,"25.01.09","117",,개인,N
구봉마을9단지,"30170","11600","1","1154","0000",관저서로,"30170","3166010","01","0","00020","00000",,"1154","59.9","2024","11","12","19,500","15","2000","30170-111", , ,중개거래,대전 서구,"25.01.10","912",,개인,N
공작한양,"30170","10600","1","0835","0000",문정로,"30170","3166027","01","0","00131","00000",,"835","72.99","2024","11","1","39,000","11","1992","30170-38", , ,중개거래,대전 서구, , ,,개인,N
나이스진,"30170","11200","1","1118","0000",대덕대로175번길,"30170","4298168","01","0","00050","00000",,"1118","38.42","2024","11","16","6,700","3","2003","30170-133", , ,중개거래,대전 서구,"24.12.02", ,,개인,N
상아,"30170","12800","1","0001","0000",대덕대로,"30170","2010001","06","0","00415","00000",,"1","76.57","2024","11","25","35,500","3","1995","30170-122", , ,중개거래,대전 서구, , ,,개인,N
